table,Variable,Analysis,Site,Value,Zone,,,,,,,,Log10 Fitness,,,Log10 Size (HxWxL; cm3),,,Height (cm),,,ÃNo. of Branches,,,,,,,,Log10 Dist. to Neighbour (cm),,,Ranked Seed Set Ratio,,,Log10 Growth Rate (cm3/day),,,ÃFlowering Duration (days),,
1,FR.ALL,sd,BH,19,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,FR.ALL,sd,DB,32,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,FR.ALL,sd,DB,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,FR.ALL,sd,KB,617,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,FR.ALL,sd,KB,222,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,FR.ALL,sd,LH,814,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,FR.ALL,sd,LH,158,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,FR.ALL,sd,MNS,114,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,FR.ALL,sd,MNS,41,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,FR.ALL,sd,TH,1019,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,FR.ALL,sd,TH,808,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SIZE,CV,AR,138,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SIZE,CV,AR,99,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SIZE,CV,BH,200,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SIZE,CV,BH,381,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SIZE,CV,DB,176,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SIZE,CV,DB,208,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SIZE,CV,KB,97,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SIZE,CV,KB,111,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
