table,Variable,Analysis,Site,Value,Zone,,,,,,,,Log10 Fitness,,,Log10 Size (HxWxL; cm3),,,Height (cm),,,ÃNo. of Branches,,,,,,,,Log10 Dist. to Neighbour (cm),,,Ranked Seed Set Ratio,,,Log10 Growth Rate (cm3/day),,,ÃFlowering Duration (days),,
6,PrpnPD,CV,KB,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PrpnPD,CV,LH,59,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PrpnPD,CV,LH,83,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MNS,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MNS,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PrpnPD,CV,TH,61,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PrpnPD,CV,TH,39,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PrpnPD,mean,AR,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PrpnPD,mean,AR,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PrpnPD,mean,KB,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PrpnPD,mean,KB,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PrpnPD,mean,LH,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PrpnPD,mean,LH,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PrpnPD,mean,TH,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PrpnPD,mean,TH,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PrpnPD,sd,AR,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PrpnPD,sd,AR,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PrpnPD,sd,KB,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PrpnPD,sd,KB,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PrpnPD,sd,LH,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PrpnPD,sd,LH,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PrpnPD,sd,TH,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PrpnPD,sd,TH,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,GR,,AR,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,GR,,AR,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,GR,,BH,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,GR,,BH,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,GR,,DB,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,GR,,DB,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,GR,,KB,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,GR,,KB,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,GR,CV,LH,117,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,GR,CV,LH,120,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,GR,CV,MNS,73,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,GR,CV,MNS,268,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,GR,,TH,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,GR,,TH,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,GR,mean,LH,241,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,GR,mean,LH,132,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,GR,mean,MNS,171,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,GR,mean,MNS,30,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,GR,sd,LH,281,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,GR,sd,LH,158,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,GR,sd,MNS,124,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,GR,sd,MNS,81,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,DDFLWF,,AR,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,DDFLWF,,AR,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,DDFLWF,,BH,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,DDFLWF,,BH,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,DDFLWF,,DB,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,DDFLWF,,DB,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,DDFLWF,,KB,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,DDFLWF,,KB,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,DDFLWF,CV,LH,42,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,DDFLWF,CV,LH,60,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,DDFLWF,CV,MNS,62,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,DDFLWF,CV,MNS,48,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,TH,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,TH,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,DDFLWF,mean,LH,43,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,DDFLWF,mean,LH,37,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,DDFLWF,mean,MNS,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,DDFLWF,mean,MNS,23,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,DDFLWF,sd,LH,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,DDFLWF,sd,LH,22,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,DDFLWF,sd,MNS,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,DDFLWF,sd,MNS,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
